===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
  ASHOKLEY        6.13        3.82         1.14 None    None        38.24       2890.91 None
    HONASA        5.97        1.32        -0.35 None    None        90.71        441.67 None
SESHAPAPER        5.97       -3.64         0.25 None    None       -10.67        -75.00 None
    ASTRAL        5.96        4.61        -5.24 None    None        12.20        -17.71 None
PHOENIXLTD        5.94        9.89       -15.60 None    None        66.03        -57.31 None
    ZENTEC        5.93        8.67       -10.39 None    None       327.03        657.14 None
SHRIPISTON        5.88        2.98        -4.03 None    None        55.32        145.45 None
       RBA        5.87       34.35       -41.42 None    None        42.74         11.76 None
      NHPC        5.86       -0.53        -7.10 None    None        15.40          7.31 None
  SHANKARA        5.85        2.01       -16.03 None    None        97.36        166.67 None
    HNDFDS        5.84       14.19         0.91 None    None        66.39        113.33 None
   AGARIND        5.83       -0.08        -2.71 None    None         2.24        -43.48 None
  WESTLIFE        5.81        7.29        -5.93 None    None        22.25        -94.78 None
    NCLIND        5.77       -1.51        -8.22 None    None       -13.55         53.85 None
  BESTAGRO        5.75        2.74        40.58 None    None       -17.89        -50.00 None
  TATACOMM        5.74        6.99       -16.13 None    None        38.25        -65.14 None
SHAKTIPUMP        5.72        4.40         4.59 None    None       144.88        977.78 None
      NTPC        5.66       11.90       -18.64 None    None         9.00         53.54 None
  POLYPLEX        5.64       -5.58       -23.33 None    None       -14.46       -119.29 None
     DODLA        5.63        2.38        -2.85 None    None        40.45        152.00 None
   JPPOWER        5.59      -36.16        -7.16 None    None       -13.02         14.88 None
     IRCTC        5.58       11.91       -25.00 None    None        20.21         18.64 None
   POKARNA        5.55       14.83        -0.01 None    None       -28.75          0.00 None
   POLYMED        5.54       11.65        13.68 None    None        61.85        244.44 None
  ETHOSLTD        5.44        9.16       -14.09 None    None        98.85         46.15 None
 SOLARINDS        5.42       -4.72         0.00 None    None        33.29         92.90 None
  GANESHBE        5.37       -1.36        -6.27 None    None         4.35         50.00 None
   GOLDIAM        5.36        1.44         1.59 None    None        70.37         61.90 None
      GRSE        5.33      -20.46         0.00 None    None          NaN           NaN None
ASKAUTOLTD        5.32        1.17        -6.05 None    None        19.44         34.69 None
  TITAGARH        5.31       -8.35        -5.33 None    None        57.18           NaN None
 KIRLOSENG        5.25        7.80       -18.20 None    None        48.11         69.51 None
ROLEXRINGS        5.23       11.59        -4.29 None    None          NaN           NaN None
IONEXCHANG        5.22       12.62       -18.33 None    None        52.62         77.78 None
 SIGNATURE        5.18       -0.65         0.00 None    None        59.78          3.03 None
      JLHL        5.15        3.13         0.00 None    None        73.13         46.67 None
   FILATEX        5.12       -3.42         6.83 None    None        -0.47         28.12 None
REMSONSIND        5.10        0.91        -8.76 None    None        25.23         81.13 None
     CIPLA        5.04       13.13        -8.29 None    None        29.43         83.00 None
  MANINFRA        4.97        0.86         0.01 None    None       -48.01         31.82 None
DENTALKART        4.96       -0.70        -6.37 None    None        48.64        -28.42 None
      RVNL        4.89        6.38       -27.16 None    None       -15.77        -55.03 None
    GENSOL        4.88        0.14       -34.84 None    None       914.71        800.00 None
       ABB        4.88       -4.88         0.00 None    None        -4.77        128.12 None
