===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
ARROWGREEN       -0.55       -0.24        -4.87 None    None       250.00        320.00 None
       PPL       -0.56       -0.02         5.05 None    None          NaN           NaN None
    RPTECH       -0.58        1.98         0.24 None    None        45.19         93.75 None
      KSCL       -0.58       -4.40         6.07 None    None        25.22         33.47 None
   SENORES       -0.59       -2.26         0.01 None    None        74.68        200.00 None
      SAIL       -0.61        0.69       -10.00 None    None         7.88         -7.34 None
  GOCLCORP       -0.62       -5.04         2.95 None    None       -98.73        878.40 None
  JNKINDIA       -0.63       -1.09        -0.37 None    None        -7.66        -89.40 None
       APS       -0.63       -3.33        -0.67 None    None       313.51        650.00 None
  BAJAJHFL       -0.64       -1.24        -0.05 None    None          NaN           NaN None
       MCX       -0.65       22.58          NaN None    None       242.20        395.12 None
LAXMIDENTL       -0.65        1.44         0.00 None    None        37.27        254.47 None
      RHIM       -0.67        7.57       -13.55 None    None        59.47        -57.32 None
 ORIENTCEM       -0.70      -22.47        35.16 None    None          NaN           NaN None
 JYOTHYLAB       -0.71        6.38        -4.01 None    None        21.94        105.41 None
   DIFFNKG       -0.71       -0.64         0.00 None    None         9.46         33.33 None
   FINEORG       -0.72       -3.93         0.00 None    None       -21.39        -26.88 None
       HPL       -0.73       -8.76         0.51 None    None        29.39        200.00 None
       IOB       -0.73      -10.46        15.05 None    None          NaN           NaN None
      SULA       -0.74        9.39        -2.98 None    None        18.94        -82.36 None
   NIITLTD       -0.74        1.56         2.98 None    None       -10.48        191.89 None
  AEROFLEX       -0.74       -2.89         0.00 None    None        23.74         -4.65 None
MANALIPETC       -0.76       -0.34         0.05 None    None       -27.47        -61.11 None
     DENTA       -0.77       -2.26         0.00 None    None        45.65        171.43 None
      SJVN       -0.78        1.54        -8.12 None    None        -8.67        -62.56 None
    NETWEB       -0.79       -3.23        -4.42 None    None          NaN           NaN None
   AIMTRON       -0.81        2.07         0.06 None    None        75.86         27.27 None
      GNFC       -0.83       -5.51         0.09 None    None       -40.62        -85.49 None
    GMBREW       -0.89       -0.05         0.00 None    None          NaN           NaN None
     EPACK       -0.89      -12.62        -0.07 None    None       139.86        483.33 None
    IFBIND       -0.90       -2.72         0.00 None    None        25.40       1200.00 None
SCHAEFFLER       -0.90      -10.87        22.80 None    None        34.00         33.49 None
  DHANBANK       -0.94       -0.26          NaN None    None          NaN           NaN None
   BLUEJET       -0.96       -2.75         0.00 None    None          NaN           NaN None
  BLUEDART       -0.98        6.39         0.00 None    None        11.52        -58.82 None
       HCC       -0.99      -25.79       -11.08 None    None       -51.05        118.28 None
   ESAFSFB       -1.00       -5.98        -0.08 None    None          NaN           NaN None
  SWANCORP       -1.03       10.48       -17.70 None    None       366.54        154.00 None
  CIEINDIA       -1.04       15.17        -4.21 None    None         6.90          7.94 None
HERITGFOOD       -1.04       -1.64         1.40 None    None        38.49        485.71 None
    544310       -1.04       -2.15         0.19 None    None          NaN           NaN None
  DCXINDIA       -1.04       -6.72       -19.55 None    None         4.18        -27.11 None
SHOPERSTOP       -1.06       12.11        -1.58 None    None        22.47       -169.57 None
TRANSWORLD       -1.06       -1.11        -2.82 None    None       -36.80       -110.62 None
DHAMPURSUG       -1.06       -1.45         0.76 None    None       -25.86        -97.68 None
SAHAJSOLAR       -1.08       -2.20         0.00 None    None       280.33       1050.00 None
  SYMPHONY       -1.09        3.41        -1.58 None    None       -23.71         44.83 None
    KRSNAA       -1.09      -14.40        -0.27 None    None        70.80         50.00 None
  ASTRAZEN       -1.10       -2.49         0.00 None    None          NaN           NaN None
    EXICOM       -1.10       -6.28        -3.10 None    None        40.41      -1483.33 None
    530643       -1.12        0.16         4.14 None    None        67.39        193.12 None
    TCIEXP       -1.12       -0.19         3.44 None    None       -11.96        -50.00 None
      EIEL       -1.12       -2.48         0.07 None    None       100.83        250.00 None
CASTROLIND       -1.12       -3.78         0.00 None    None          NaN           NaN None
  CELLECOR       -1.14       -5.77        -1.90 None    None          NaN           NaN None
   UCOBANK       -1.14       -9.98        14.28 None    None          NaN           NaN None
   CEIGALL       -1.16        0.45         0.00 None    None        28.92         15.91 None
DLINKINDIA       -1.16       -3.75         0.00 None    None        18.24         50.00 None
  GOODLUCK       -1.16       -5.47        -4.02 None    None        19.59         90.48 None
 EXPLEOSOL       -1.22        0.00        17.17 None    None        22.64        -13.04 None
  SATIPOLY       -1.22         NaN         0.00 None    None          NaN           NaN None
VINDHYATEL       -1.23       -2.06         0.03 None    None       189.17         55.26 None
  GALAPREC       -1.24       -1.43        -0.11 None    None        36.01         43.83 None
MUNJALSHOW       -1.25       -0.08         0.00 None    None          NaN           NaN None
BALMLAWRIE       -1.28       -7.21          NaN None    None         5.09         21.82 None
 SWARAJENG       -1.30       -2.90         1.50 None    None          NaN           NaN None
   HMAAGRO       -1.32       -0.09        -1.98 None    None        35.87        -98.81 None
     FLAIR       -1.33        0.66         0.00 None    None        24.57        -12.12 None
ADANIENSOL       -1.34        3.69        -3.73 None    None       117.72        220.83 None
    SCILAL       -1.34       -0.81         0.00 None    None          NaN           NaN None
AGARWALEYE       -1.36        1.23        -0.02 None    None        46.25         65.22 None
   MPHASIS       -1.42       26.66       -20.31 None    None         9.41          9.95 None
   NIITMTS       -1.42        6.32        -0.49 None    None        44.55        -10.91 None
    MAMATA       -1.42       -2.84         0.00 None    None       -14.34         36.60 None
 SANGAMIND       -1.42       -8.41        22.69 None    None        10.72        -95.95 None
  SURAKSHA       -1.44        1.94         0.11 None    None        20.88         10.07 None
JINDALPOLY       -1.45       -0.06        -0.01 None    None       -31.97        -88.25 None
WEBELSOLAR       -1.46        0.00        -3.46 None    None          NaN           NaN None
   UNIMECH       -1.46       -0.16         0.00 None    None        -3.08         -5.00 None
     GVPIL       -1.48      -14.95         0.00 None    None       -41.55        159.32 None
       PSB       -1.51       -6.70        14.23 None    None          NaN           NaN None
 MEGATHERM       -1.53       -1.13         0.08 None    None          NaN           NaN None
    KRONOX       -1.53       -2.63         0.00 None    None          NaN           NaN None
  SANATHAN       -1.56        3.43         0.00 None    None        -0.13         33.33 None
EASEMYTRIP       -1.56       -8.57       -27.18 None    None        29.93        -98.67 None
      GGBL       -1.61       -1.73         0.00 None    None       205.08        142.86 None
   RISHABH       -1.61       -4.13        -0.87 None    None        52.00         81.82 None
 ESABINDIA       -1.62       11.72         0.00 None    None          NaN           NaN None
    RELAXO       -1.62        8.16        -3.66 None    None          NaN           NaN None
MIRCELECTR       -1.62       -0.46        -4.34 None    None          NaN           NaN None
       RGL       -1.68        0.37       -12.50 None    None        -7.45        -72.76 None
    ALIVUS       -1.70        5.06        -7.91 None    None          NaN           NaN None
       KRN       -1.70       -1.40         0.00 None    None        61.97         33.33 None
    526586       -1.71       -0.06       -16.60 None    None        11.11         88.89 None
 GPTHEALTH       -1.72       -2.28         0.00 None    None          NaN           NaN None
HAPPSTMNDS       -1.74        3.19        -9.03 None    None        67.17          1.79 None
     GOPAL       -1.76        0.41        -0.01 None    None          NaN           NaN None
   BOROLTD       -1.82        5.98        -5.87 None    None         7.87        -10.53 None
   SANSTAR       -1.84       -1.38         0.01 None    None        -4.28         21.43 None
     ASTEC       -1.85        3.74         6.88 None    None       -50.54       -400.00 None
 INOXGREEN       -1.86       -4.96        -0.07 None    None        -9.68        283.33 None
   PROTEAN       -1.86      -26.29          NaN None    None        34.39         14.29 None
   TVTODAY       -1.87        0.39         1.03 None    None        -9.61        -79.03 None
 KANSAINER       -1.88        2.89        -0.01 None    None         5.41         42.11 None
    ORIANA       -1.90       -3.65        -3.44 None    None       881.25       1733.33 None
   WINDLAS       -1.96        1.39         2.39 None    None        75.00         80.00 None
HEUBACHIND       -1.96       -3.84         3.37 None    None          NaN           NaN None
       EKC       -1.99        0.02         1.32 None    None         1.57         33.33 None
    QPOWER       -2.02       -2.76         0.00 None    None        24.65        164.29 None
DEEPAKFERT       -2.03        9.20        -5.44 None    None       -12.27        -44.04 None
  FIRSTCRY       -2.04        1.82          NaN None    None        32.41         39.09 None
   SWSOLAR       -2.05        0.10       -31.48 None    None        45.98        110.96 None
  SURYODAY       -2.05      -21.93        -5.59 None    None          NaN           NaN None
   BIRLANU       -2.06       -0.10        -0.42 None    None        -2.98       -101.52 None
  ALOKINDS       -2.06       -6.09        45.97 None    None       -52.74        -21.13 None
AJANTPHARM       -2.07       15.36        -7.52 None    None        37.01         45.71 None
       TBZ       -2.08       -0.10         0.00 None    None         7.59       1000.00 None
      GSPL       -2.10        6.44        -0.04 None    None       -25.81        -28.24 None
  CENTENKA       -2.10        1.75        -0.38 None    None       -29.23        -62.50 None
ASIANTILES       -2.11       -1.86         0.36 None    None        25.23        269.95 None
    RUSHIL       -2.12       -1.14         0.31 None    None       -20.44       -216.67 None
   UNIECOM       -2.15       -4.50        -2.38 None    None        73.07          0.26 None
       DLF       -2.17        4.27        -0.87 None    None        88.42         62.69 None
    GARUDA       -2.17       -0.80         0.00 None    None       257.14        211.11 None
    RECLTD       -2.18        4.61        -6.23 None    None        55.18         81.99 None
  TEXINFRA       -2.25       -2.62         4.96 None    None        17.39        844.44 None
  VESUVIUS       -2.26        0.93         0.00 None    None          NaN           NaN None
TVSSRICHAK       -2.31        3.29         0.34 None    None        11.13        750.00 None
       C2C       -2.38       -5.76         0.62 None    None          NaN           NaN None
MAXESTATES       -2.40        6.26        -4.27 None    None        88.89        100.00 None
  PITTIENG       -2.43       19.12        -5.83 None    None        46.95         91.67 None
 NESTLEIND       -2.50        4.00         0.00 None    None        10.78         -1.37 None
    DANISH       -2.55       -4.47         0.00 None    None        59.76         90.00 None
ABBOTINDIA       -2.58        3.04         0.00 None    None          NaN           NaN None
GODFRYPHLP       -2.59        3.50         0.39 None    None        79.47        150.70 None
MONTECARLO       -2.64       -2.42         8.51 None    None        23.01       -300.00 None
   ACCELYA       -2.65       -2.37         0.00 None    None        28.16         36.00 None
      PCBL       -2.66        8.54        -2.15 None    None        50.04        -25.40 None
     VILAS       -2.66       -2.64         0.04 None    None          NaN           NaN None
   CEWATER       -2.67       -2.74         0.00 None    None         5.18        -66.77 None
RAJESHEXPO       -2.70        8.39         0.61 None    None       165.76       -103.51 None
    526506       -2.70        0.00        24.69 None    None        56.00         25.00 None
MUTHOOTFIN       -2.71        4.10        -0.36 None    None          NaN           NaN None
    TAJGVK       -2.71        0.66        -0.01 None    None        23.26        115.79 None
HINDOILEXP       -2.71       -1.09          NaN None    None       -11.24         37.50 None
 ZYDUSLIFE       -2.75        3.98         0.21 None    None        61.40        164.06 None
     WIPRO       -2.80        2.01        -0.58 None    None         2.81         30.36 None
GREENPOWER       -2.83       -2.93       -47.14 None    None        11.54        222.22 None
  STALLION       -2.85        0.05         0.00 None    None          NaN           NaN None
ORIENTTECH       -2.87       -1.88         0.02 None    None          NaN           NaN None
ORISSAMINE       -2.89       -4.75         0.00 None    None          NaN           NaN None
   SANDHAR       -2.93        6.69         0.24 None    None        61.48        115.38 None
GANDHITUBE       -2.93       -0.01         0.25 None    None          NaN           NaN None
DAMCAPITAL       -2.93       -4.52         0.00 None    None       -31.35        -98.91 None
   GENESYS       -2.93       -5.38       -20.58 None    None        66.01        254.31 None
    HARSHA       -2.96        2.82         0.11 None    None        -8.29         22.58 None
      RSWM       -2.97       -9.42         4.78 None    None        14.31        -88.27 None
       VHL       -2.98       -0.99         0.00 None    None       -40.00        -32.98 None
     MUFTI       -2.99       -6.78        -0.39 None    None         6.99        -46.15 None
      BBOX       -3.05       -0.01        -4.65 None    None         1.09        213.33 None
 GUJALKALI       -3.06        0.30         0.00 None    None        -2.04       -107.33 None
    ARKADE       -3.06       -0.46         0.27 None    None       156.45        314.29 None
HINDUNILVR       -3.08       10.33        -5.30 None    None        12.92         15.77 None
     AKUMS       -3.10        1.32         0.00 None    None         5.57        134.76 None
     PNGJL       -3.16       -0.46         0.00 None    None        36.44        213.64 None
   NUCLEUS       -3.17        0.07        12.97 None    None        68.99        218.18 None
ALPEXSOLAR       -3.19       -1.55         0.00 None    None       381.01        740.00 None
THOMASCOOK       -3.19       -5.27        -3.83 None    None       146.72       1333.33 None
 ORIENTPPR       -3.22      -17.63         0.08 None    None          NaN           NaN None
JUBLPHARMA       -3.30        5.80        -6.35 None    None        30.92        117.02 None
METROPOLIS       -3.31       26.30        -8.01 None    None        37.86         32.35 None
LINDEINDIA       -3.31       -3.69         0.00 None    None        -2.89        -37.79 None
 HINDPETRO       -3.33       13.58         3.79 None    None        -3.21        148.04 None
 INNOVACAP       -3.34        9.36         0.00 None    None        45.45         63.16 None
  RELIANCE       -3.37        7.87         3.75 None    None        11.32         58.32 None
APOLLOHOSP       -3.38       17.01        -5.01 None    None        53.90         36.11 None
     UFLEX       -3.38        0.25         0.56 None    None        -3.25        -84.53 None
 JAMNAAUTO       -3.40        3.26         2.05 None    None         4.56         24.32 None
     KROSS       -3.40       -0.67         0.53 None    None          NaN           NaN None
   JUNIPER       -3.42        1.46         0.00 None    None        23.61        637.70 None
  IMAGICAA       -3.43       -4.86        18.80 None    None        66.29        -91.73 None
BALRAMCHIN       -3.44       11.33         1.93 None    None        42.78        333.33 None
 VISAKAIND       -3.45       -0.17         7.20 None    None         5.42         33.33 None
      TARC       -3.48        5.42        -0.44 None    None        11.76        500.00 None
    WELENT       -3.53        1.52        10.68 None    None        22.46        106.12 None
   KTKBANK       -3.54        5.45          NaN None    None          NaN           NaN None
   ROSSARI       -3.56        5.18        -4.51 None    None        25.06         17.24 None
     TITAN       -3.59        7.56        -0.15 None    None        74.98         38.10 None
 BODALCHEM       -3.60       -0.11        -6.85 None    None        -1.03        -57.70 None
      GTPL       -3.63       -2.84         1.15 None    None        43.24        -84.82 None
   GANDHAR       -3.63       -8.75         0.38 None    None         2.15        -60.00 None
    500123       -3.64        8.56         0.00 None    None          NaN           NaN None
  RATEGAIN       -3.67       14.74        -8.13 None    None       129.41        487.50 None
KALAMANDIR       -3.67       -6.47         0.17 None    None          NaN           NaN None
    MAXIND       -3.70       -2.10         9.27 None    None       -15.91       -550.00 None
      SPAL       -3.71       13.54         1.81 None    None        63.82        -19.23 None
JAICORPLTD       -3.76       -0.29         0.90 None    None       -32.82        642.86 None
 DGCONTENT       -3.78        0.01        -2.70 None    None        39.40         63.82 None
   HERANBA       -3.80       -4.52         0.80 None    None        25.00        -81.09 None
  NILKAMAL       -3.85        9.03         0.44 None    None        19.32        -48.28 None
RAYMONDLSL       -3.85       -0.05         1.46 None    None       -20.69       -114.39 None
     KITEX       -3.87        0.55         2.42 None    None       -20.88        -48.65 None
  IGARASHI       -3.87       -5.02         0.00 None    None          NaN           NaN None
    LXCHEM       -3.91       -2.00        -3.54 None    None        -8.45        -67.19 None
      WCIL       -3.92       -1.75         0.00 None    None         3.48        -35.29 None
 BAYERCROP       -3.97       -1.19         2.86 None    None         8.52        112.50 None
 SUNPHARMA       -4.02        7.17         0.09 None    None        28.70          9.56 None
TTKHLTCARE       -4.07       -3.15         9.14 None    None          NaN           NaN None
ALEMBICLTD       -4.10       -0.04         5.11 None    None       127.27        426.32 None
GREAVESCOT       -4.11      -23.44         4.81 None    None        12.88         31.25 None
STYLEBAAZA       -4.12        1.33         0.01 None    None        65.95        -62.68 None
PRSMJOHNSN       -4.12       -2.67         0.00 None    None         6.11         65.27 None
      NAVA       -4.13       -6.90         5.74 None    None        16.39         17.70 None
SHRIRAMPPS       -4.15      -42.21        -0.06 None    None        98.36        110.00 None
    MPSLTD       -4.24       -5.00         0.57 None    None        61.74         66.67 None
  RELIGARE       -4.25        3.40       -25.10 None    None        95.83        110.72 None
     CREST       -4.28       -2.40         4.76 None    None       -88.89        -92.92 None
  WONDERLA       -4.33        6.46        -8.73 None    None          NaN           NaN None
     MUKKA       -4.38       -0.13         0.00 None    None       -57.00        -94.18 None
       PTC       -4.40      -19.37         0.00 None    None        -6.94         80.00 None
   ASHIANA       -4.44        6.79         0.07 None    None       266.25         30.00 None
      IKIO       -4.46       -5.52         0.04 None    None       143.89        -57.27 None
   PLATIND       -4.50        0.10         0.00 None    None        76.92         18.18 None
     VPRPL       -4.55       -0.85         0.00 None    None          NaN           NaN None
  TATACHEM       -4.55       -2.79         7.18 None    None        -6.91        -50.39 None
 ZYDUSWELL       -4.61       13.33        -2.90 None    None        23.71         -6.57 None
    FAZE3Q       -4.62        1.13        16.62 None    None        44.22        -13.33 None
SONATSOFTW       -4.64       23.98        -2.78 None    None        66.67          0.93 None
   GULPOLY       -4.64       -6.03         7.82 None    None       119.63         30.00 None
 CYIENTDLM       -4.69       15.98       -14.54 None    None         0.39        -40.75 None
    532485       -4.69       -1.30         0.00 None    None         5.24         23.21 None
    PENIND       -4.74      -10.82         3.31 None    None        20.86        128.57 None
     PIIND       -4.75       15.63        -5.46 None    None        23.14         52.67 None
      SOTL       -4.78        2.97        -2.67 None    None         9.77        -38.46 None
 COFFEEDAY       -4.81        0.32       -44.41 None    None        28.10        227.78 None
  ATULAUTO       -4.83      -11.97        -9.96 None    None        43.20        156.44 None
 MAYURUNIQ       -4.85       -2.87        -2.60 None    None         8.00         51.85 None
SOMANYCERA       -4.87       12.67         3.48 None    None         8.10        -62.04 None
   IPCALAB       -4.88       14.18        -1.41 None    None        45.59         60.69 None
   GABRIEL       -4.88        9.09         0.37 None    None        36.23         47.62 None
   HAVELLS       -4.94       10.52        -2.23 None    None        28.53         43.21 None
  SURAJEST       -4.95       -2.57        -5.35 None    None        29.41         40.00 None
       VTL       -4.99        4.89         2.37 None    None       -15.15        -37.54 None
    DEEDEV       -5.04        5.22         0.04 None    None        35.76          8.33 None
  PROZONER       -5.14       -0.02        19.14 None    None        33.52         17.03 None
MOTILALOFS       -5.19        3.90        -3.06 None    None       263.00       3534.38 None
 BLKASHYAP       -5.19       -2.83        -5.72 None    None        16.26         -8.33 None
    522229       -5.27        0.09         0.96 None    None        38.09         93.44 None
   3MINDIA       -5.34        5.56         0.00 None    None        40.73        423.33 None
       TCS       -5.42        6.59        -1.54 None    None        20.24         34.67 None
      ELIN       -5.52       -5.55         0.05 None    None         0.46        200.00 None
 MANGLMCEM       -5.54        2.66        26.25 None    None          NaN           NaN None
    DBCORP       -5.60       -2.19         3.61 None    None        13.16        161.29 None
 JITFINFRA       -5.64      -10.82         0.02 None    None       119.99         86.92 None
  UNIPARTS       -5.66       -3.32        -0.13 None    None       -21.04        -33.33 None
      GSFC       -5.81       -6.87         0.00 None    None       -27.63        -59.83 None
     SPARC       -5.86       -0.55        -1.26 None    None       -79.17         36.59 None
OBEROIRLTY       -5.99       10.22        -4.79 None    None         8.21          4.47 None
   HCLTECH       -6.00        8.43         1.14 None    None        29.34         17.16 None
    VRLLOG       -6.04       16.03        -9.33 None    None          NaN           NaN None
      OFSS       -6.05        4.96        -1.53 None    None        32.10         30.49 None
TATAMOTORS       -6.07        1.58         7.84 None    None        45.14        180.85 None
    ENTERO       -6.09        7.91        -0.02 None    None        69.36        650.00 None
    KHADIM       -6.21      -16.90         0.16 None    None       -42.37        -74.63 None
ASIANPAINT       -6.22       13.38        -0.16 None    None         3.86          7.82 None
    MAHLOG       -6.23        4.73        -1.45 None    None        35.39       -171.25 None
       TAC       -6.24       -2.23         0.00 None    None       260.00        300.00 None
      INFY       -6.39       19.08         1.86 None    None        22.65         29.13 None
   CEATLTD       -6.52       12.56        -3.55 None    None        25.23       1144.44 None
     YATRA       -6.52       -0.31         0.00 None    None       135.96        166.67 None
  ADANIENT       -6.58        4.21        -0.95 None    None       -46.23        108.10 None
AUROPHARMA       -6.61       14.17        -0.05 None    None        26.17         58.46 None
 CONTROLPR       -6.61       -0.39        -2.91 None    None        68.06        -28.25 None
    DISHTV       -6.61       -5.38       -60.38 None    None       -45.98       -627.78 None
 EICHERMOT       -6.63       11.64        -1.51 None    None        48.43         97.22 None
    APLLTD       -6.65       13.33        -3.00 None    None        35.58        333.33 None
       PFS       -6.69        2.60         0.00 None    None       -31.40        168.63 None
    ARVIND       -6.70        2.83        -3.51 None    None       -14.71        -46.08 None
     OMAXE       -6.71       -0.10        -0.85 None    None       133.06       -272.00 None
 BOMDYEING       -6.75      -11.63        -0.11 None    None       -37.62        118.18 None
INDUSTOWER       -6.83       16.45       -11.65 None    None        16.83        264.15 None
    544037       -6.84       -2.34         0.22 None    None        11.54         85.71 None
      TNPL       -6.89       -9.13         0.00 None    None          NaN           NaN None
      DBOL       -6.94       -0.13         1.70 None    None         6.05       -375.00 None
  AHLUCONT       -7.01        9.70        -4.24 None    None        65.02         34.21 None
  UNITDSPR       -7.01        8.93        -1.80 None    None        24.89         59.77 None
EMSLIMITED       -7.06       -1.38         0.00 None    None        97.52         26.67 None
   DRREDDY       -7.07       16.18        -0.15 None    None        63.81         18.59 None
      BPCL       -7.08       15.44        -1.95 None    None        -7.05        211.24 None
    ZAGGLE       -7.10        2.10         0.13 None    None        77.54        225.00 None
 MOTHERSON       -7.16       13.85       -14.50 None    None        71.51        232.97 None
      IFCI       -7.17      -12.17        17.04 None    None        30.87        131.47 None
WELSPUNLIV       -7.19        7.20        -7.24 None    None        15.53        323.81 None
      RAIN       -7.25       -2.52         0.09 None    None       -20.57        -88.28 None
   HTMEDIA       -7.25       -9.32        -0.01 None    None        -1.90         73.81 None
      ICIL       -7.29        1.24        -0.20 None    None        32.83        -50.65 None
  MOTISONS       -7.36        0.04         0.00 None    None          NaN           NaN None
    FINOPB       -7.46       -6.02         0.00 None    None          NaN           NaN None
       FDC       -7.58        3.20         0.77 None    None        30.91         70.42 None
  GRAPHITE       -7.58        1.68         0.12 None    None       -23.21        454.17 None
RADIANTCMS       -7.58      -22.94         0.00 None    None         7.76        -66.18 None
TTKPRESTIG       -7.59        9.56         0.21 None    None        -3.18        -50.94 None
     SENCO       -7.69        4.29        -4.10 None    None        81.33        356.52 None
  GREENPLY       -7.70       12.15         0.66 None    None        32.38         33.33 None
 DEEPAKNTR       -7.73       11.02         2.76 None    None        -8.16        -52.34 None
  PRESTIGE       -7.79       15.22        -9.05 None    None        19.04         24.30 None
BALKRISIND       -7.79       11.48         3.93 None    None         5.38         -6.19 None
  JUBLFOOD       -7.80       18.98        -4.69 None    None        80.16        -16.81 None
  KPITTECH       -7.81        9.72        -2.20 None    None       124.34         95.45 None
       IGL       -7.93        9.74         0.00 None    None        22.54        -11.02 None
CARBORUNIV       -7.96       13.66        -4.59 None    None         6.93        -30.23 None
     MVGJL       -8.00       -1.49         0.00 None    None          NaN           NaN None
     DABUR       -8.13       10.39        -1.82 None    None        20.66         15.19 None
    VSTIND       -8.14       -8.12         0.00 None    None          NaN           NaN None
 TEAMLEASE       -8.30       32.93       -13.31 None    None        53.86         -7.41 None
CENTURYPLY       -8.36       13.90         0.64 None    None        31.50        -43.01 None
 LUMAXTECH       -8.39       12.30         0.34 None    None       143.13        107.69 None
       UDS       -8.47        0.40         0.41 None    None        46.14        163.64 None
   CGPOWER       -8.50      -14.18        21.96 None    None        75.17        105.38 None
    VIJAYA       -8.56       10.99        -2.15 None    None        80.77        116.67 None
 DALBHARAT       -8.66       12.98         1.58 None    None        10.12         92.68 None
 DELTACORP       -8.72        5.76        -7.03 None    None       -26.40        -49.12 None
    SANOFI       -8.84        9.42         0.00 None    None         0.00        -26.02 None
      BLSE       -9.02       -0.01         0.00 None    None       253.62        250.00 None
     WABAG       -9.05      -18.50        -5.61 None    None        16.14        120.00 None
  GODREJCP       -9.08       10.24       -10.20 None    None        17.18         31.01 None
GREENPANEL       -9.10       10.18         0.03 None    None         2.06        -46.43 None
 KIRLOSIND       -9.18       -2.65        -0.27 None    None        13.97         -7.77 None
     SUNTV       -9.33        8.72         0.00 None    None         5.82          7.09 None
    MARUTI       -9.35       10.98         2.07 None    None        45.61        266.02 None
  ONMOBILE       -9.55       -0.70        -0.90 None    None        -7.41        300.00 None
       ACC       -9.60        7.45         2.16 None    None        36.24         65.20 None
     VMART       -9.62       28.32       -10.29 None    None          NaN           NaN None
ADANIPOWER       -9.66       -0.91         6.88 None    None         2.81        -30.86 None
ADANIPORTS       -9.72        4.81         4.59 None    None        80.43        181.31 None
   FIEMIND       -9.84        1.04        -4.63 None    None        48.09        100.00 None
HEIDELBERG      -10.01        6.94         0.00 None    None          NaN           NaN None
      CESC      -10.15        5.10         2.19 None    None        26.82         36.03 None
     BAJEL      -10.19       -1.68        -0.28 None    None        24.22        -58.13 None
      KKCL      -10.34       -0.21         0.07 None    None        50.97         45.45 None
  RELINFRA      -10.36      -15.82       -30.58 None    None        -4.28        329.58 None
 PPLPHARMA      -10.43        8.99         0.07 None    None        30.50         24.77 None
       SHK      -10.44        0.93        -1.92 None    None        40.00         13.04 None
       NDL      -10.55        1.16        -7.26 None    None          NaN           NaN None
       NCC      -10.55       -5.34         2.38 None    None        55.95         49.64 None
     LUPIN      -10.62       16.41         0.21 None    None        67.41       1503.45 None
  TEJASNET      -10.77       -5.88        53.73 None    None        60.32      -2671.43 None
    AIAENG      -10.80       16.49        -3.15 None    None        -3.80         59.69 None
KAJARIACER      -10.83       21.63         0.10 None    None         9.42         18.28 None
 AMBUJACEM      -10.92        7.72         3.95 None    None        28.08         12.14 None
   ACLGATI      -11.00        2.64         8.96 None    None       -17.12        -81.49 None
DREAMFOLKS      -11.12       -3.99        -1.28 None    None       118.12         61.54 None
   ESCORTS      -11.25        7.61        25.06 None    None        23.03        890.78 None
    531381      -11.50        1.84        -5.58 None    None       388.24           NaN None
 GUJGASLTD      -11.51       12.69         0.00 None    None       -25.13        -14.14 None
       CCL      -11.55       16.08         1.31 None    None       107.47         35.85 None
   UNITECH      -11.70       -0.38       -15.46 None    None        -0.94         36.95 None
   GATEWAY      -11.80        4.78         0.20 None    None        59.88          6.90 None
       BCG      -12.20       -0.75       -15.99 None    None        -1.76        -23.83 None
     ROUTE      -12.34        2.09         9.51 None    None        44.17        -16.90 None
       PEL      -12.35       11.62        -5.27 None    None          NaN           NaN None
       DBL      -12.50        3.94       -12.49 None    None        -9.15        592.73 None
  EVEREADY      -12.59      -15.05        -0.86 None    None        11.64         36.36 None
    TBOTEK      -12.68       12.57         0.00 None    None        81.85        125.00 None
    JAGRAN      -12.99       -4.97         8.24 None    None         1.32         67.50 None
 REPCOHOME      -13.01       -0.76         0.00 None    None          NaN           NaN None
CARERATING      -13.20       -8.41          NaN None    None        70.91         85.71 None
     TECHM      -13.41       19.00        -1.22 None    None         5.06         -1.66 None
  RPSGVENT      -13.97       -5.94        13.59 None    None        52.12        253.52 None
  GLENMARK      -14.16       11.62         0.14 None    None        17.54        -77.73 None
    CONCOR      -14.39       11.58         0.00 None    None         8.02        -10.10 None
SPECIALITY      -14.88       -1.24        -1.10 None    None        20.90        -65.93 None
INDUSINDBK      -14.92       19.38        -0.98 None    None          NaN           NaN None
    512229      -14.92        0.14        -5.46 None    None        49.74         41.18 None
     AWHCL      -15.11       -2.74        -0.15 None    None         5.11        -20.69 None
 PARAGMILK      -15.16        4.62        -4.87 None    None        23.30        180.00 None
      HMVL      -15.54       -1.71         0.10 None    None         8.93        147.62 None
   MAHLIFE      -15.55       19.56         1.60 None    None       -66.32        -32.89 None
    504000      -15.62        0.00         9.35 None    None       316.67        362.50 None
HEROMOTOCO      -15.63       15.29         0.10 None    None        15.15        191.13 None
TIMETECHNO      -15.99        4.78        -0.97 None    None        43.33        115.56 None
     SAMHI      -17.17       -7.38          NaN None    None        60.95        118.81 None
 TATAPOWER      -17.21       -7.46        13.84 None    None        24.42         42.76 None
      GPPL      -17.43        2.91         1.00 None    None        20.77         76.27 None
   LAOPALA      -18.72       18.36         0.82 None    None          NaN           NaN None
PCJEWELLER      -18.75        8.66       -29.10 None    None        32.54        118.92 None
       DEN      -18.84      -30.06        38.13 None    None       -14.84        315.38 None
